sequence,operation,main_thread,submission_us,latency_us,error
594,read,true,19.236,8853.598,
597,write,true,271.062,16140.482,
600,read,true,165.316,8697.468,
603,read,true,40.004,7968.548,
606,read,true,93.423,6823.777,
609,write,true,119.813,15712.009,
612,read,true,79.507,9016.448,
615,read,true,97.53,14208.043,
618,write,true,107.669,31582.56,
621,read,true,77.403,15016.08,
624,read,true,12.994,21742.207,
627,write,true,173.521,30302.941,
630,read,true,91.94,9047.195,
633,read,true,14.988,14651.023,
636,read,true,93.162,5707.2,
639,write,true,109.873,13210.857,
642,read,true,102.891,6661.558,
645,read,true,80.93,10985.115,
648,write,true,758.124,22528.102,
651,read,true,86.871,8481.077,
654,read,true,20.238,8991.924,
657,write,true,173.42,15327.366,
660,read,true,307.59,10270.892,
663,read,true,29.174,9366.116,
666,read,true,96.769,10179.552,
669,write,true,170.625,20540.15,
672,read,true,97.781,7563.757,
675,read,true,91.269,6012.156,
678,write,true,151.019,12404.072,
681,read,true,87.161,6353.848,
684,read,true,13.175,5122.067,
687,write,true,234.525,12459.635,
690,read,true,302.27,9912.007,
693,read,true,61.975,8168.959,
696,read,true,87.492,9715.052,
699,write,true,149.607,23841.905,
702,read,true,94.075,5441.779,
705,read,true,76.802,7324.545,
708,write,true,140.199,15181.466,
711,read,true,86.5,6757.765,
714,read,true,15.077,7208.35,
717,write,true,156.48,21908.915,
720,read,true,77.675,8786.053,
723,read,true,16.832,6611.154,
726,read,true,109.052,4932.726,
729,write,true,133.527,12006.947,
732,read,true,97.521,4832.019,
735,read,true,73.787,4411.791,
738,write,true,129.219,8005.857,
741,read,true,65.27,4047.496,
744,read,true,14.196,3531.341,
747,write,true,167.81,10250.093,
750,read,true,100.265,6387.139,
753,read,true,20.017,6578.924,
756,read,true,82.493,5574.634,
759,write,true,126.635,11726.768,
762,read,true,409.048,5167.361,
765,read,true,101.087,4715.853,
768,write,true,149.478,9558.743,
771,read,true,76.792,3603.553,
774,read,true,30.486,4431.798,
777,write,true,174.312,18054.306,
780,read,true,90.277,6785.976,
783,read,true,17.512,6152.474,
786,read,true,105.105,5719.634,
789,write,true,137.434,15554.486,
792,read,true,101.988,6765.68,
795,read,true,88.995,4910.826,
798,write,true,150.509,11838.515,
801,read,true,139.709,4874.667,
804,read,true,28.292,3901.836,
807,write,true,148.084,9644.663,
810,read,true,88.594,5196.254,
813,read,true,15.689,5516.386,
816,read,true,76.752,4619.275,
819,write,true,99.353,11235.468,
822,read,true,106.748,5858.69,
825,read,true,142.844,5317.357,
828,write,true,136.573,11096.511,
831,read,true,78.425,6059.292,
834,read,true,18.514,5340.561,
837,write,true,205.802,20156.991,
840,read,true,409.428,8388.866,
843,read,true,185.072,9322.976,
846,read,true,187.488,4954.105,
849,write,true,148.845,18119.908,
852,read,true,93.833,8615.345,
855,read,true,79.838,7435.751,
858,write,true,139.619,27283.86,
861,read,true,86.26,12846.422,
864,read,true,19.707,6571.971,
867,write,true,176.406,23312.675,
870,read,true,67.926,9340.409,
873,read,true,15.759,11734.022,
876,read,true,104.293,13452.133,
879,write,true,119.481,23401.87,
882,read,true,72.594,17423.368,
885,read,true,93.343,4268.656,
888,write,true,125.623,10969.425,
891,read,true,68.436,4575.814,
894,read,true,24.496,3958.321,
897,write,true,151.02,12802.631,
900,read,true,86.851,5956.492,
903,read,true,53.599,5173.802,
906,read,true,271.382,6339.129,
909,write,true,148.997,11791.129,
912,read,true,89.957,5601.153,
915,read,true,146.161,5326.135,
918,write,true,121.395,9916.575,
921,read,true,76.912,6374.465,
924,read,true,13.444,7404.052,
927,write,true,165.466,11876.235,
930,read,true,72.744,4841.116,
933,read,true,19.505,5258.448,
936,read,true,140.61,3437.846,
939,write,true,140.951,11549.9,
942,read,true,80.789,4394.427,
