sequence,operation,main_thread,submission_us,latency_us,error
0,read,true,17380.349,34994.11,
3,read,true,294.155,22211.155,
6,read,true,5204.759,8901.335,
9,write,true,5370.386,82351.767,
12,read,true,562.191,8483.13,
15,read,true,2591.22,8644.039,
18,write,true,5708.743,260981.649,
21,read,true,261.083,11177.921,
24,read,true,92.862,11094.968,
27,write,true,833.754,304977.477,
30,read,true,454.542,13316.732,
33,read,true,1658.431,21769.707,
36,read,true,320.164,10155.559,
39,write,true,2030.31,366053.481,
42,read,true,2006.195,7353.599,
45,read,true,592.738,19854.009,
48,write,true,19255.902,441484.229,
51,read,true,571.609,7977.435,
54,read,true,376.067,16427.434,
57,write,true,1011.193,586846.982,
60,read,true,206.692,7651.059,
63,read,true,64.3,13715.671,
66,read,true,193.197,9388.887,
69,write,true,639.274,694360.026,
72,read,true,140.67,24908.159,
75,read,true,608.266,8433.589,
78,write,true,1021.461,688044.349,
81,read,true,150.298,101917.12,
84,read,true,48.119,106529.883,
87,write,true,795.513,797869.084,
90,read,true,178.369,244620.917,
93,read,true,63.498,254700.114,
96,read,true,147.313,216505.118,
99,write,true,797.778,967912.965,
102,read,true,162.982,347825.172,
105,read,true,169.043,305236.027,
108,write,true,615.519,1129711.966,
111,read,true,262.365,343948.412,
114,read,true,55.974,348228.129,
117,write,true,2464.475,1396839.968,
120,read,true,179.723,454323.768,
123,read,true,86.359,478959.793,
126,read,true,134.961,434329.088,
129,write,true,768.463,1513493.49,
132,read,true,143.755,628205.667,
135,read,true,149.197,587294.37,
138,write,true,685.889,1878948.002,
141,read,true,144.767,789525.731,
144,read,true,78.906,800442.099,
147,write,true,555.719,2423993.877,STORAGE_UNAVAILABLE
150,read,true,161.99,1055241.698,
153,read,true,105.004,1065788.42,
156,read,true,166.939,1026413.799,
159,write,true,646.688,2460836.559,
162,read,true,188.469,1181601.627,
165,read,true,352.473,1146198.209,
168,write,true,1765.911,2636488.597,
171,read,true,161.108,1537794.696,
174,read,true,91.569,1549813.123,
177,write,true,723.199,3021819.099,STORAGE_UNAVAILABLE
180,read,true,245.284,2107177.643,
183,read,true,68.858,2146030.93,
186,read,true,207.815,2116726.227,
189,write,true,864.622,3005471.104,STORAGE_UNAVAILABLE
192,read,true,783.22,2132783.225,
195,read,true,267.426,2131634.147,
198,write,true,663.169,3002588.094,STORAGE_UNAVAILABLE
201,read,true,194.64,2314481.21,
204,read,true,62.526,2327525.287,
207,write,true,998.761,3006059.804,REQUEST_TIMEOUT
210,read,true,118.7,2790543.337,
213,read,true,43.069,2806411.605,
216,read,true,143.386,2766212.406,
219,write,true,2114.396,3005216.612,STORAGE_UNAVAILABLE
