sequence,operation,main_thread,submission_us,latency_us,error
2,read,true,11826.533,19780.464,
5,read,true,96.489,6262.659,
8,write,true,1135.152,14876.762,
11,read,true,89.225,5234.785,
14,read,true,22.461,10491.078,
17,write,true,223.734,25390.614,
20,read,true,83.765,5908.964,
23,read,true,23.243,6685.101,
26,read,true,593.069,11092.033,
29,write,true,157.682,20571.499,
32,read,true,106.477,4899.623,
35,read,true,92.482,6268.5,
38,write,true,166.027,27528.232,
41,read,true,438.972,6076.854,
44,read,true,91.098,6873.409,
47,write,true,232.201,14761.989,
50,read,true,112.958,6879.299,
53,read,true,21.4,7502.726,
56,read,true,140.31,9362.54,
59,write,true,173.321,21649.866,
62,read,true,83.144,6374.194,
65,read,true,84.777,6107.971,
68,write,true,161.499,33640.923,
71,read,true,84.626,4364.062,
74,read,true,19.095,4912.959,
77,write,true,201.784,27710.459,
80,read,true,88.043,6288.647,
83,read,true,11.251,7387.771,
86,read,true,168.101,6787.02,
89,write,true,275.049,14279.787,
92,read,true,66.202,11677.937,
95,read,true,361.459,13773.949,
98,write,true,928.219,13688.742,
101,read,true,86.029,8190.428,
104,read,true,21.009,7362.897,
107,write,true,165.186,15361.629,
110,read,true,71.011,7615.844,
113,read,true,15.209,7382.383,
116,read,true,85.989,7901.784,
119,write,true,170.005,24261.242,
122,read,true,73.256,7320.558,
125,read,true,211.111,10061.394,
128,write,true,157.16,20926.706,
131,read,true,78.896,5147.513,
134,read,true,12.072,6544.31,
137,write,true,178.28,62127.851,
140,read,true,103.822,5150.198,
143,read,true,14.918,5748.297,
146,read,true,90.217,22952.027,
149,write,true,22552.107,34406.511,
152,read,true,114.152,8334.726,
155,read,true,90.897,7050.767,
158,write,true,1866.847,24965.636,
161,read,true,88.554,8071.88,
164,read,true,20.368,7068.862,
167,write,true,200.541,15146.662,
170,read,true,77.044,5813.998,
173,read,true,17.202,4979.693,
176,read,true,72.324,3469.916,
179,write,true,152.382,30231.047,
182,read,true,95.216,4725.47,
185,read,true,88.805,8656.462,
188,write,true,165.476,29411.67,
191,read,true,83.073,5144.838,
194,read,true,41.126,5057.106,
197,write,true,619.528,43005.146,
200,read,true,105.845,9831.437,
203,read,true,21.951,11051.317,
206,read,true,82.503,8376.774,
209,write,true,136.894,16142.206,
212,read,true,90.598,6257.008,
215,read,true,87.221,5874.34,
218,write,true,150.598,15923.379,
221,read,true,80.519,5870.232,
224,read,true,14.197,5044.222,
227,write,true,262.527,28020.704,
230,read,true,84.426,11632.483,
233,read,true,19.996,11523.08,
236,read,true,79.327,25405.11,
239,write,true,160.427,48379.83,
242,read,true,64.449,8652.605,
245,read,true,316.647,32349.522,
248,write,true,169.053,87311.561,
251,read,true,171.728,31213.368,
254,read,true,22.192,52917.654,
257,write,true,209.999,45111.557,
260,read,true,98.724,23769.733,
263,read,true,701.188,26859.073,
266,read,true,181.375,14817.402,
269,write,true,254.071,49424.324,
272,read,true,72.924,9449.12,
275,read,true,92.301,7473.791,
278,write,true,172.409,29783.68,
281,read,true,90.668,7062.87,
284,read,true,28.121,6313.472,
287,write,true,209.949,17749.372,
290,read,true,95.276,6713.844,
293,read,true,14.317,8448.907,
296,read,true,90.147,6590.677,
299,write,true,236.949,15506.989,
302,read,true,84.958,7747.719,
305,read,true,76.371,7487.006,
308,write,true,163.052,14318.568,
311,read,true,88.864,8333.393,
314,read,true,11.601,10686.15,
317,write,true,213.064,12106.851,
320,read,true,90.147,5572.379,
323,read,true,10.85,5489.846,
326,read,true,94.385,5503.923,
329,write,true,237.87,15563.723,
332,read,true,96.148,4122.575,
335,read,true,124.771,6731.836,
338,write,true,154.116,20762.783,
341,read,true,97.451,4017.851,
344,read,true,15.449,4476.25,
347,write,true,178.491,13760.124,
350,read,true,75.189,4395.46,
353,read,true,21.779,4102.317,
356,read,true,68.576,2471.436,
359,write,true,137.515,11603.901,
362,read,true,80.188,5385.784,
365,read,true,82.333,4622.12,
368,write,true,164.946,13913.117,
371,read,true,74.698,3618.692,
374,read,true,11.201,2952.969,
377,write,true,222.272,12108.416,
380,read,true,120.653,3645.341,
383,read,true,19.006,2998.954,
386,read,true,83.584,4267.664,
389,write,true,152.252,18100.382,
392,read,true,92.972,5805.753,
395,read,true,94.846,6888.599,
398,write,true,176.928,19611.24,
401,read,true,99.855,4557.401,
404,read,true,18.273,4015.677,
407,write,true,208.005,15283.685,
410,read,true,83.926,8166.324,
413,read,true,33.211,8865.349,
416,read,true,113.209,5544.418,
419,write,true,153.163,18393.574,
422,read,true,95.026,10521.555,
425,read,true,91.229,10908.432,
428,write,true,174.614,20668.569,
431,read,true,105.355,6328.4,
434,read,true,26.789,5148.365,
437,write,true,190.624,15507.731,
440,read,true,329.45,12620.153,
443,read,true,21.47,11992.06,
446,read,true,86.851,11739.933,
449,write,true,130.412,35405.391,
452,read,true,132.666,12028.256,
455,read,true,66.353,13018.0,
458,write,true,147.724,45714.023,
461,read,true,78.827,9123.728,
464,read,true,13.314,9052.025,
467,write,true,189.872,38180.341,
470,read,true,98.323,8509.28,
473,read,true,14.436,8412.3,
476,read,true,91.139,4716.716,
479,write,true,153.405,18712.817,
482,read,true,77.554,6159.348,
485,read,true,89.566,7552.076,
