sequence,operation,main_thread,submission_us,latency_us,error
1,read,true,297.121,4504.533,
4,read,true,144.758,5467.205,
7,write,true,412.473,28836.233,
10,read,true,106.808,6842.543,
13,read,true,45.074,7429.599,
16,read,true,72.624,6878.329,
19,write,true,195.231,19633.35,
22,read,true,88.163,9706.095,
25,read,true,67.614,8197.933,
28,write,true,129.43,17212.818,
31,read,true,91.539,4613.474,
34,read,true,21.109,5614.278,
37,write,true,1523.922,22157.555,
40,read,true,267.516,7608.692,
43,read,true,30.617,7786.932,
46,read,true,82.863,4726.443,
49,write,true,148.093,11627.723,
52,read,true,80.09,5552.875,
55,read,true,75.551,5602.156,
58,write,true,128.829,19999.76,
61,read,true,78.445,9390.431,
64,read,true,13.375,8367.137,
67,write,true,162.761,30133.287,
70,read,true,81.19,6494.127,
73,read,true,18.414,5669.931,
76,read,true,67.976,5393.038,
79,write,true,147.795,18740.077,
82,read,true,183.4,7488.448,
85,read,true,81.492,8490.746,
88,write,true,165.426,24299.471,
91,read,true,1090.84,18570.381,
94,read,true,29.645,17487.827,
97,write,true,818.476,29223.752,
100,read,true,97.24,8813.733,
103,read,true,18.604,6654.435,
106,read,true,183.149,4647.928,
109,write,true,182.959,11254.654,
112,read,true,124.873,7895.183,
115,read,true,74.247,4798.647,
118,write,true,181.226,19498.762,
121,read,true,138.106,5747.996,
124,read,true,21.611,5973.754,
127,write,true,182.849,17482.237,
130,read,true,76.321,6202.106,
133,read,true,20.818,5429.084,
136,read,true,98.092,5123.139,
139,write,true,182.558,54795.321,
142,read,true,84.527,6108.914,
145,read,true,99.194,22218.019,
148,write,true,315.514,33413.672,
151,read,true,208.305,8956.687,
154,read,true,37.409,6070.623,
157,write,true,555.268,21424.859,
160,read,true,86.38,7550.653,
163,read,true,20.057,8574.54,
166,read,true,75.81,4637.83,
169,write,true,163.322,10949.058,
172,read,true,84.296,3899.402,
175,read,true,77.964,3874.025,
178,write,true,132.826,9780.653,
181,read,true,86.65,5418.155,
184,read,true,18.595,4954.596,
187,write,true,163.603,24252.065,
190,read,true,93.093,7723.915,
193,read,true,20.257,8057.693,
196,read,true,99.504,10280.96,
199,write,true,157.512,32117.151,
202,read,true,82.583,11790.145,
205,read,true,76.432,78798.355,
208,write,true,163.032,92831.353,
211,read,true,83.675,6852.622,
214,read,true,14.226,7536.137,
217,write,true,160.938,11986.609,
220,read,true,543.947,8589.638,
223,read,true,93.504,8059.336,
226,read,true,75.409,22151.714,
229,write,true,351.871,52301.381,
232,read,true,384.913,11806.626,
235,read,true,206.723,28588.074,
238,write,true,164.805,36990.797,
241,read,true,63.288,10433.232,
244,read,true,23.644,8920.852,
247,write,true,211.151,59876.691,
250,read,true,109.141,18392.463,
253,read,true,11.522,34790.262,
256,read,true,77.864,15581.306,
259,write,true,280.76,31750.433,
262,read,true,93.895,28795.52,
265,read,true,82.343,19511.956,
268,write,true,157.321,39291.808,
271,read,true,83.815,8647.234,
274,read,true,17.673,9599.408,
277,write,true,252.638,37528.262,
280,read,true,78.265,8862.834,
283,read,true,20.408,7663.213,
286,read,true,76.742,6659.764,
289,write,true,259.771,13027.737,
292,read,true,86.831,6796.567,
295,read,true,76.231,7295.45,
298,write,true,150.96,26000.624,
301,read,true,70.72,8984.498,
304,read,true,31.248,7601.487,
307,write,true,1085.099,25806.062,
310,read,true,73.275,11881.003,
313,read,true,12.833,7747.508,
316,read,true,74.228,4607.112,
319,write,true,142.994,10167.259,
322,read,true,88.063,7654.116,
325,read,true,84.607,7225.793,
328,write,true,171.007,13153.299,
331,read,true,89.226,5385.905,
334,read,true,18.684,5844.704,
337,write,true,216.181,14259.709,
340,read,true,82.352,4300.234,
343,read,true,26.189,6277.627,
346,read,true,64.759,5667.215,
349,write,true,150.088,10768.123,
352,read,true,92.141,4839.022,
355,read,true,77.404,3710.231,
358,write,true,137.484,7918.926,
361,read,true,71.903,5932.867,
364,read,true,9.577,6506.389,
367,write,true,340.842,10059.49,
370,read,true,107.388,3767.087,
373,read,true,14.387,4262.394,
376,read,true,76.903,5632.762,
379,write,true,143.676,10557.984,
382,read,true,86.58,5605.241,
385,read,true,84.166,4146.661,
388,write,true,170.175,12587.492,
391,read,true,94.595,7589.155,
394,read,true,11.891,7021.624,
397,write,true,153.354,16467.908,
400,read,true,70.861,4500.003,
403,read,true,13.205,4774.984,
406,read,true,69.368,5824.658,
409,write,true,120.724,10910.637,
412,read,true,74.728,7694.57,
415,read,true,86.32,4147.992,
418,write,true,147.885,13906.355,
421,read,true,311.948,16056.076,
424,read,true,9.337,13470.767,
427,write,true,317.759,36048.051,
430,read,true,63.468,5763.474,
433,read,true,43.351,4321.624,
436,read,true,153.475,10916.228,
439,write,true,160.958,27907.304,
442,read,true,6957.415,15092.672,
445,read,true,810.501,11104.375,
448,write,true,188.149,27358.028,
451,read,true,85.148,12119.035,
454,read,true,10.379,10709.333,
457,write,true,171.157,56855.096,
460,read,true,79.698,13901.176,
463,read,true,2750.062,14303.229,
466,read,true,171.558,13290.173,
469,write,true,145.15,34349.977,
472,read,true,87.362,8632.247,
475,read,true,474.89,6789.334,
478,write,true,144.517,14892.691,
481,read,true,104.855,7268.422,
484,read,true,17.021,6318.993,
487,write,true,195.822,33207.52,
490,read,true,101.067,9138.474,
493,read,true,17.643,7079.872,
496,read,true,77.293,5822.794,
499,write,true,217.893,18140.035,
502,read,true,86.33,6160.149,
505,read,true,86.811,10732.006,
508,write,true,141.181,13625.284,
511,read,true,85.839,6900.82,
514,read,true,22.061,5996.686,
517,write,true,202.846,32044.386,
520,read,true,93.463,15110.134,
523,read,true,17.321,7130.395,
526,read,true,69.638,40004.908,
529,write,true,265.662,58473.824,
532,read,true,420.258,8873.082,
535,read,true,83.074,4050.512,
538,write,true,169.955,12438.396,
541,read,true,76.672,11282.404,
544,read,true,11.451,11834.858,
547,write,true,232.029,15026.309,
550,read,true,105.125,7065.086,
553,read,true,12.052,6303.333,
556,read,true,92.52,19052.204,
559,write,true,143.745,35532.697,
562,read,true,93.343,7561.164,
565,read,true,216.341,8292.247,
568,write,true,154.667,11592.44,
571,read,true,80.93,8555.155,
574,read,true,28.854,9244.391,
577,write,true,184.001,15793.45,
580,read,true,94.085,7349.643,
583,read,true,16.38,6719.284,
586,read,true,85.348,12400.226,
589,write,true,139.458,24439.271,
592,read,true,85.419,7592.291,
595,read,true,100.266,8911.785,
598,write,true,157.723,31506.29,
601,read,true,82.913,6029.717,
604,read,true,11.832,6686.213,
607,write,true,196.143,15322.667,
610,read,true,74.237,6253.37,
613,read,true,15.969,9793.718,
616,read,true,85.398,15554.547,
619,write,true,1409.159,34875.088,
622,read,true,816.623,12513.996,
625,read,true,92.871,10189.251,
628,write,true,487.423,31488.146,
631,read,true,183.319,10045.494,
634,read,true,39.653,10826.751,
637,write,true,194.851,25408.537,
640,read,true,69.7,6804.012,
643,read,true,17.943,7504.598,
646,read,true,144.619,6972.835,
649,write,true,262.697,26829.529,
652,read,true,84.937,7496.122,
655,read,true,63.968,5782.358,
658,write,true,123.458,11176.929,
661,read,true,74.398,5762.322,
664,read,true,13.606,4635.575,
667,write,true,346.963,19086.658,
670,read,true,138.436,11156.993,
673,read,true,43.59,10047.477,
676,read,true,71.984,6565.269,
679,write,true,530.011,12725.608,
682,read,true,78.666,4775.845,
685,read,true,87.502,6759.558,
688,write,true,159.515,14109.28,
691,read,true,89.856,5751.14,
694,read,true,18.194,5522.798,
697,write,true,396.584,24718.939,
700,read,true,79.547,8817.561,
703,read,true,39.714,10093.473,
706,read,true,84.837,5048.01,
709,write,true,190.763,10616.992,
712,read,true,585.514,17403.451,
715,read,true,87.742,15555.568,
718,write,true,150.509,17858.063,
721,read,true,91.931,9870.831,
724,read,true,11.511,8553.49,
727,write,true,265.922,19664.138,
730,read,true,63.317,4557.721,
733,read,true,22.321,3215.485,
736,read,true,74.026,3595.128,
739,write,true,123.098,10082.322,
742,read,true,67.395,4090.205,
745,read,true,90.137,4354.946,
748,write,true,122.186,11168.064,
751,read,true,87.673,6703.565,
754,read,true,15.54,5855.265,
757,write,true,192.386,9322.625,
760,read,true,104.483,4105.443,
763,read,true,13.415,3517.504,
766,read,true,69.138,3551.948,
769,write,true,125.964,9546.56,
772,read,true,83.314,5197.066,
775,read,true,91.239,5955.439,
778,write,true,157.341,16050.865,
781,read,true,113.441,7522.492,
784,read,true,18.213,7891.264,
787,write,true,296.479,13596.01,
790,read,true,102.33,4037.278,
793,read,true,12.613,4447.917,
796,read,true,76.753,4709.793,
799,write,true,156.941,10845.436,
802,read,true,85.488,4797.795,
805,read,true,87.121,4392.204,
808,write,true,168.442,9844.753,
811,read,true,76.241,3599.526,
814,read,true,10.87,3931.4,
817,write,true,750.871,16171.77,
820,read,true,84.777,6179.585,
823,read,true,10.869,7910.52,
826,read,true,86.17,4546.149,
829,write,true,153.995,11591.488,
832,read,true,250.003,11811.565,
835,read,true,134.448,6248.021,
838,write,true,331.906,17631.625,
841,read,true,352.734,13800.689,
844,read,true,42.879,13463.835,
847,write,true,219.206,11116.788,
850,read,true,100.617,9508.63,
853,read,true,22.341,10004.909,
856,read,true,136.443,18516.112,
859,write,true,136.924,42628.618,
862,read,true,93.453,13390.489,
865,read,true,112.368,11482.345,
868,write,true,169.163,20488.113,
871,read,true,86.4,7205.314,
874,read,true,10.259,6217.074,
877,write,true,180.915,25312.279,
880,read,true,88.875,6686.403,
883,read,true,13.325,7044.035,
886,read,true,98.142,8797.593,
889,write,true,161.409,9989.821,
892,read,true,81.531,7064.293,
895,read,true,125.763,7721.36,
898,write,true,173.552,12708.106,
901,read,true,75.511,6056.127,
904,read,true,26.64,7062.1,
907,write,true,207.504,10864.651,
910,read,true,77.453,4899.494,
913,read,true,20.838,4147.18,
916,read,true,81.992,3801.651,
919,write,true,124.49,8188.736,
922,read,true,102.911,7096.182,
925,read,true,68.256,4715.743,
928,write,true,113.901,19465.891,
931,read,true,67.495,4225.737,
934,read,true,16.471,3619.363,
937,write,true,156.821,10086.832,
940,read,true,68.147,5091.089,
943,read,true,35.666,4002.083,
946,read,true,83.766,3066.329,
949,write,true,117.828,8261.961,
952,read,true,84.417,4401.312,
955,read,true,76.361,5531.845,
958,write,true,125.703,11319.845,
961,read,true,78.175,3564.231,
964,read,true,15.759,2992.973,
967,write,true,190.252,14841.887,
970,read,true,72.514,3603.804,
973,read,true,9.929,4234.151,
976,read,true,90.588,4019.826,
979,write,true,120.563,11719.395,
982,read,true,93.543,15432.532,
985,read,true,81.08,5005.691,
988,write,true,158.474,20607.245,
991,read,true,106.808,11442.742,
994,read,true,13.055,11323.371,
997,write,true,227.761,19636.316,
1000,read,true,159.746,7265.035,
1003,read,true,15.499,7915.68,
1006,read,true,90.999,3286.326,
1009,write,true,152.193,12515.579,
1012,read,true,87.162,6536.266,
1015,read,true,95.056,4569.523,
1018,write,true,201.072,13505.381,
1021,read,true,92.852,6953.398,
1024,read,true,11.811,8168.797,
1027,write,true,404.409,19922.307,
1030,read,true,147.122,12339.512,
1033,read,true,22.812,10589.06,
1036,read,true,904.455,5651.336,
1039,write,true,325.092,19533.717,
1042,read,true,96.289,5071.333,
1045,read,true,66.593,6088.466,
1048,write,true,142.985,13839.05,
1051,read,true,79.998,6005.602,
1054,read,true,10.318,6756.683,
1057,write,true,163.072,9239.973,
1060,read,true,95.516,4665.851,
1063,read,true,12.133,5309.904,
1066,read,true,309.934,7877.469,
1069,write,true,141.572,19860.271,
1072,read,true,95.165,3448.025,
1075,read,true,78.054,4635.234,
1078,write,true,120.273,11356.593,
1081,read,true,204.901,5026.68,
1084,read,true,32.501,4619.335,
1087,write,true,150.129,7502.765,
1090,read,true,88.575,3840.303,
1093,read,true,13.736,4448.298,
1096,read,true,323.278,3903.058,
1099,write,true,204.779,11387.298,
1102,read,true,77.023,6042.741,
1105,read,true,78.074,4578.559,
1108,write,true,167.209,10969.625,
1111,read,true,102.63,4875.169,
1114,read,true,15.479,5698.884,
1117,write,true,233.843,11898.005,
1120,read,true,112.399,4089.494,
1123,read,true,16.37,4553.273,
1126,read,true,87.722,5604.339,
1129,write,true,149.327,13083.951,
1132,read,true,85.718,5501.329,
1135,read,true,83.875,5646.499,
1138,write,true,120.513,13783.526,
1141,read,true,94.244,5977.601,
1144,read,true,18.585,4907.91,
1147,write,true,197.437,13363.159,
1150,read,true,129.58,4990.091,
1153,read,true,23.142,3912.856,
1156,read,true,85.258,5256.946,
1159,write,true,164.104,12433.516,
1162,read,true,87.142,6085.13,
1165,read,true,73.045,4075.567,
1168,write,true,147.975,10431.86,
1171,read,true,73.166,4552.792,
1174,read,true,8.636,3780.581,
1177,write,true,182.098,10900.578,
