sequence,operation,main_thread,submission_us,latency_us,error
0,read,true,8143.742,199585.652,
3,read,true,462.276,47715.108,
6,read,true,362.872,26630.67,
9,write,true,869.671,109462.774,
12,read,true,321.555,141781.339,
15,read,true,349.276,13202.13,
18,write,true,6417.655,74703.49,
21,read,true,1204.069,130282.512,
24,read,true,1538.329,19106.344,
27,write,true,6639.296,78091.265,
30,read,true,1475.763,163460.83,
33,read,true,6900.63,8410.686,
36,read,true,4754.666,10404.35,
39,write,true,4292.97,65629.446,
42,read,true,14391.264,173352.981,
45,read,true,1194.422,14953.123,
48,write,true,4218.442,73597.362,
51,read,true,3769.741,38510.121,
54,read,true,470.501,21821.012,
57,write,true,1754.921,68964.283,
60,read,true,1114.784,18083.55,
63,read,true,2938.231,17560.532,
66,read,true,3132.221,234821.499,
69,write,true,20108.66,62272.249,
72,read,true,357.843,16653.091,
75,read,true,381.867,31927.829,
78,write,true,1872.438,27993.594,
81,read,true,1070.693,243822.37,
84,read,true,233.924,22459.465,
87,write,true,2254.205,93814.875,
90,read,true,11781.519,28726.081,
93,read,true,17493.619,17515.649,
96,read,true,1539.261,155187.178,
99,write,true,1794.163,30476.683,
102,read,true,400.111,9344.806,
105,read,true,4975.104,22668.974,
108,write,true,6276.284,28807.542,
111,read,true,1628.676,104548.745,
114,read,true,4302.458,11313.242,
117,write,true,2070.705,25657.819,
120,read,true,316.196,10400.282,
123,read,true,795.834,11291.582,
126,read,true,316.697,176084.969,
129,write,true,378.231,28889.042,
132,read,true,305.607,17507.234,
135,read,true,482.574,28964.703,
138,write,true,433.353,51484.41,
141,read,true,602.706,19344.085,
144,read,true,257.465,28317.413,
147,write,true,2593.933,64079.855,
150,read,true,4443.61,8403.373,
153,read,true,3988.017,9914.713,
156,read,true,1218.477,16818.318,
159,write,true,1227.834,39386.023,
162,read,true,760.739,153122.292,
165,read,true,1481.865,21449.825,
168,write,true,2337.308,46819.208,
171,read,true,553.224,25566.159,
174,read,true,637.291,18042.335,
177,write,true,775.036,42608.081,
180,read,true,3239.73,128570.112,
183,read,true,2012.347,10229.846,
186,read,true,3727.273,16184.073,
189,write,true,2002.238,19376.785,
