sequence,operation,main_thread,submission_us,latency_us,error
1,read,true,8186.141,210251.285,
4,read,true,2481.916,291851.148,
7,write,true,3268.223,313016.696,
10,read,true,234.003,408532.581,
13,read,true,67.614,506391.366,
16,read,true,295.177,569931.202,
19,write,true,440.616,565752.934,
22,read,true,829.676,634612.321,
25,read,true,265.221,518148.881,
28,write,true,876.163,497167.083,
31,read,true,487.763,513369.0,
34,read,true,86.7,533059.846,
37,write,true,457.738,536639.436,
40,read,true,322.898,428228.048,
43,read,true,98.303,487429.289,
46,read,true,228.924,550928.5,
49,write,true,357.562,477105.059,
52,read,true,321.375,407109.718,
55,read,true,236.058,391667.499,
58,write,true,357.502,410497.03,
61,read,true,304.152,360697.822,
64,read,true,99.295,368958.131,
67,write,true,413.265,334606.692,
70,read,true,287.873,289667.514,
73,read,true,56.565,328455.06,
76,read,true,275.56,249854.5,
79,write,true,316.316,317018.067,
82,read,true,336.272,388122.994,
85,read,true,273.337,223462.102,
88,write,true,308.712,268356.175,
91,read,true,272.044,179324.399,
94,read,true,50.473,191846.219,
97,write,true,388.74,176629.748,
100,read,true,173.281,125529.239,
103,read,true,51.826,133869.316,
106,read,true,166.949,85204.779,
109,write,true,313.15,98361.836,
112,read,true,184.963,56646.009,
115,read,true,184.182,12565.683,
118,write,true,299.975,29880.158,
121,read,true,244.032,9332.964,
124,read,true,53.268,234687.791,
127,write,true,452.999,87469.575,
130,read,true,210.25,12486.265,
133,read,true,57.407,24429.484,
136,read,true,302.901,8905.464,
139,write,true,224.947,19603.195,
142,read,true,299.425,18303.72,
145,read,true,195.792,254347.182,
148,write,true,165.036,44119.66,
151,read,true,254.17,19230.465,
154,read,true,43.22,14657.145,
157,write,true,269.971,39840.314,
160,read,true,400.062,20215.009,
163,read,true,39.113,20158.064,
166,read,true,195.382,24326.552,
169,write,true,140.961,34268.665,
172,read,true,192.677,15352.222,
175,read,true,279.828,131934.632,
178,write,true,183.89,37172.442,
181,read,true,218.615,24069.837,
184,read,true,49.672,20884.117,
187,write,true,334.98,39527.285,
190,read,true,289.686,138849.669,
193,read,true,67.486,5857.939,
196,read,true,267.185,18007.27,
199,write,true,259.22,49288.142,
202,read,true,174.153,10437.15,
205,read,true,336.243,9358.042,
208,write,true,207.695,18207.49,
211,read,true,391.215,162561.574,
214,read,true,70.831,21895.45,
217,write,true,388.49,24761.379,
220,read,true,248.38,15933.809,
223,read,true,67.015,14349.796,
226,read,true,204.349,12124.234,
229,write,true,199.219,27181.169,
232,read,true,249.632,129320.592,
235,read,true,4036.045,6951.475,
238,write,true,611.423,34747.332,
241,read,true,3340.646,7560.331,
244,read,true,527.035,8787.504,
247,write,true,902.02,12244.517,
250,read,true,145.458,136794.373,
253,read,true,34.213,19370.384,
256,read,true,463.108,7009.872,
259,write,true,261.524,13815.947,
262,read,true,573.652,8249.178,
265,read,true,178.531,162305.87,
268,write,true,2601.357,15743.447,
271,read,true,482.674,4841.447,
274,read,true,635.176,15356.81,
277,write,true,268.207,32669.945,
280,read,true,232.872,11273.549,
283,read,true,41.848,8168.918,
286,read,true,229.184,90811.944,
289,write,true,158.313,20736.865,
292,read,true,172.449,6118.411,
295,read,true,166.879,108513.677,
298,write,true,232.932,20644.073,
301,read,true,285.079,13557.008,
304,read,true,20.699,8081.316,
307,write,true,388.56,14924.461,
310,read,true,188.338,10496.389,
313,read,true,35.956,122660.788,
316,read,true,153.835,10873.208,
319,write,true,145.279,19687.582,
322,read,true,182.778,9181.394,
325,read,true,166.809,166667.489,
328,write,true,185.233,30247.018,
331,read,true,199.91,14395.39,
334,read,true,47.298,16340.303,
337,write,true,1565.039,26206.856,
340,read,true,252.849,8664.787,
343,read,true,32.6,7076.946,
346,read,true,177.419,125254.963,
349,write,true,492.221,20026.609,
352,read,true,204.098,19245.342,
355,read,true,380.334,56257.959,
358,write,true,320.033,56550.351,
361,read,true,160.958,133728.345,
364,read,true,29.825,10437.981,
367,write,true,429.416,40891.662,
370,read,true,190.494,15486.922,
373,read,true,42.809,21152.003,
376,read,true,226.761,123095.304,
379,write,true,144.808,24614.065,
382,read,true,212.945,22565.732,
385,read,true,243.621,17848.996,
388,write,true,159.766,52855.939,
391,read,true,171.047,141011.802,
394,read,true,87.863,9843.51,
397,write,true,986.015,30621.2,
400,read,true,212.443,22250.778,
403,read,true,25.436,7440.599,
406,read,true,180.784,97899.45,
409,write,true,462.888,31864.263,
412,read,true,300.777,23195.888,
415,read,true,202.605,15279.077,
418,write,true,180.895,24346.811,
421,read,true,189.581,98738.955,
424,read,true,43.932,8596.872,
427,write,true,368.272,16189.774,
430,read,true,135.24,80488.826,
433,read,true,87.412,7929.887,
436,read,true,180.234,12762.747,
439,write,true,121.965,16520.936,
442,read,true,175.104,102752.177,
445,read,true,190.163,9344.357,
448,write,true,205.941,14700.456,
451,read,true,181.055,12493.908,
454,read,true,35.346,12009.552,
457,write,true,247.879,16526.587,
460,read,true,1103.935,92059.014,
463,read,true,79.778,12079.982,
466,read,true,532.396,9836.868,
469,write,true,239.794,17681.777,
472,read,true,172.498,78977.275,
475,read,true,167.18,9876.942,
478,write,true,111.427,20542.625,
481,read,true,316.455,93902.967,
484,read,true,37.169,8644.89,
487,write,true,218.535,18141.629,
490,read,true,168.081,7882.729,
493,read,true,34.313,91426.551,
496,read,true,150.799,21314.284,
499,write,true,174.934,31413.687,
502,read,true,175.946,87600.155,
505,read,true,207.615,6564.057,
508,write,true,126.414,26949.251,
511,read,true,184.513,82867.05,
514,read,true,31.008,16777.803,
517,write,true,311.357,11327.258,
520,read,true,414.107,127218.509,
523,read,true,61.804,9123.296,
526,read,true,191.295,29781.886,
529,write,true,110.535,19827.46,
532,read,true,939.46,9740.759,
535,read,true,443.311,121199.692,
538,write,true,144.026,24384.399,
541,read,true,180.806,11229.227,
544,read,true,57.576,25698.012,
547,write,true,230.186,24527.354,
550,read,true,142.605,126230.801,
553,read,true,27.12,21683.507,
556,read,true,170.616,31050.805,
559,write,true,158.885,43128.274,
562,read,true,194.301,8210.256,
565,read,true,322.769,233001.64,
568,write,true,132.255,39578.549,
571,read,true,204.699,59833.251,
574,read,true,36.707,7287.355,
577,write,true,201.012,90983.082,
580,read,true,296.83,30865.152,
583,read,true,29.424,30361.328,
586,read,true,1672.377,29239.602,
589,write,true,158.994,22298.015,
592,read,true,277.073,161191.708,
595,read,true,165.427,37413.27,
598,write,true,121.424,37060.276,
601,read,true,157.211,26900.228,
604,read,true,21.049,26758.597,
607,write,true,261.033,30566.749,
610,read,true,157.411,28858.726,
613,read,true,21.078,123448.957,
616,read,true,167.46,34687.712,
619,write,true,105.985,67838.045,
622,read,true,184.33,11972.753,
625,read,true,174.724,112742.008,
628,write,true,56.395,18222.779,
631,read,true,150.138,8577.024,
634,read,true,21.93,28829.923,
637,write,true,223.795,32757.628,
640,read,true,143.245,153402.12,
643,read,true,19.647,12985.149,
646,read,true,315.515,17112.994,
649,write,true,131.063,42428.328,
652,read,true,256.806,14782.498,
655,read,true,256.716,6353.828,
658,write,true,110.495,48184.218,
661,read,true,190.062,143737.181,
664,read,true,66.374,23748.062,
667,write,true,206.832,19381.784,
670,read,true,701.769,41384.383,
673,read,true,624.957,17773.817,
676,read,true,324.701,194285.947,
679,write,true,75.51,38636.545,
682,read,true,731.355,28040.862,
685,read,true,2604.092,34464.357,
688,write,true,820.169,91184.414,
691,read,true,156.139,51256.066,
694,read,true,19.836,46529.743,
697,write,true,245.063,16925.796,
700,read,true,580.715,129558.844,
703,read,true,24.186,8458.746,
706,read,true,153.825,13287.279,
709,write,true,140.129,23367.687,
712,read,true,141.822,18821.508,
715,read,true,175.886,120740.191,
718,write,true,128.207,29377.837,
721,read,true,207.234,12304.077,
724,read,true,69.63,15869.811,
727,write,true,353.945,16637.353,
730,read,true,1063.78,120385.003,
733,read,true,126.955,16862.54,
736,read,true,445.305,20352.403,
739,write,true,109.492,16104.455,
742,read,true,145.35,17734.585,
745,read,true,143.957,164350.947,
748,write,true,86.35,33950.977,
751,read,true,163.462,9061.481,
754,read,true,59.29,16179.635,
757,write,true,987.579,49850.994,
760,read,true,136.974,13485.475,
763,read,true,23.293,9454.87,
766,read,true,3528.825,218912.044,
769,write,true,228.073,44102.117,
772,read,true,3133.523,12421.145,
775,read,true,467.075,4556.088,
778,write,true,1417.175,34706.807,
781,read,true,117.058,6520.947,
784,read,true,10347.593,54800.76,
787,write,true,11751.665,49070.368,
790,read,true,10668.228,259003.816,
793,read,true,8171.435,31722.28,
796,read,true,207.294,24482.021,
799,write,true,63.617,146549.359,
802,read,true,108.602,22521.37,
805,read,true,157.903,18253.396,
808,write,true,70.261,32679.242,
811,read,true,116.515,52769.809,
814,read,true,12.704,52642.554,
817,write,true,151.5,29310.362,
820,read,true,121.685,102817.999,
823,read,true,13.556,9587.206,
826,read,true,138.587,13322.283,
829,write,true,63.087,29115.622,
832,read,true,170.085,6478.408,
835,read,true,102.821,96799.563,
838,write,true,61.734,19789.951,
841,read,true,107.699,28379.329,
844,read,true,16.662,23674.426,
847,write,true,195.02,22192.099,
850,read,true,121.535,7463.492,
853,read,true,28.093,168114.229,
856,read,true,195.643,13925.701,
859,write,true,108.32,23501.876,
862,read,true,103.282,24991.675,
865,read,true,106.346,6044.253,
868,write,true,123.569,22594.355,
871,read,true,185.834,108770.653,
874,read,true,17.313,13657.304,
877,write,true,168.993,17317.422,
880,read,true,117.657,9155.525,
883,read,true,20.347,9029.292,
886,read,true,111.916,133553.04,
889,write,true,103.32,21739.35,
892,read,true,135.281,8798.165,
895,read,true,106.167,18205.025,
898,write,true,98.001,16079.129,
901,read,true,102.05,110681.072,
904,read,true,15.318,9033.38,
907,write,true,169.203,26724.824,
910,read,true,115.014,13213.08,
913,read,true,15.82,10575.075,
916,read,true,137.655,119568.822,
919,write,true,142.414,11246.919,
922,read,true,101.839,11128.5,
925,read,true,153.724,9074.977,
928,write,true,91.159,13157.839,
931,read,true,172.951,87785.439,
934,read,true,14.908,8032.366,
937,write,true,149.727,9583.889,
940,read,true,126.875,104452.155,
943,read,true,14.487,9106.225,
946,read,true,115.304,13686.087,
949,write,true,82.052,20924.913,
952,read,true,156.621,5086.521,
955,read,true,191.454,10435.647,
958,write,true,77.403,21336.275,
961,read,true,127.506,141549.299,
964,read,true,26.128,14910.505,
967,write,true,1084.067,13739.344,
970,read,true,251.165,15334.198,
973,read,true,3516.041,14964.845,
976,read,true,383.97,124073.724,
979,write,true,103.041,15479.497,
982,read,true,120.142,9132.363,
985,read,true,120.024,14018.904,
988,write,true,185.853,23924.898,
991,read,true,150.058,142687.907,
994,read,true,63.097,23164.521,
997,write,true,186.886,37964.529,
1000,read,true,192.828,5742.195,
1003,read,true,21.551,25214.748,
1006,read,true,340.721,102750.694,
1009,write,true,273.405,12875.665,
1012,read,true,103.922,9738.004,
1015,read,true,119.572,210160.578,
1018,write,true,109.023,27578.316,
1021,read,true,300.858,19751.641,
1024,read,true,22.302,19754.786,
1027,write,true,142.974,113358.099,
1030,read,true,157.151,32283.68,
1033,read,true,15.139,63799.697,
1036,read,true,523.009,84311.284,
1039,write,true,82.803,87767.946,
1042,read,true,160.737,37069.612,
1045,read,true,5641.898,113694.994,
1048,write,true,126.123,18859.387,
1051,read,true,5054.08,15317.628,
1054,read,true,97.571,14544.847,
1057,write,true,295.196,42860.959,
1060,read,true,151.42,7082.466,
1063,read,true,17.182,92511.391,
1066,read,true,225.117,8418.382,
1069,write,true,118.019,20660.834,
1072,read,true,139.728,127455.757,
1075,read,true,132.025,7127.2,
1078,write,true,66.192,20603.107,
1081,read,true,315.856,12446.721,
1084,read,true,34.223,14895.615,
1087,write,true,370.807,14701.158,
1090,read,true,118.209,124852.858,
1093,read,true,18.515,5359.917,
1096,read,true,110.675,9581.645,
1099,write,true,132.555,23336.56,
1102,read,true,745.672,26074.27,
1105,read,true,119.181,123908.959,
1108,write,true,199.26,25867.457,
1111,read,true,162.681,9973.01,
1114,read,true,61.454,18022.548,
1117,write,true,1146.453,17847.042,
1120,read,true,164.224,12569.84,
1123,read,true,18.845,154995.0,
1126,read,true,116.897,27338.04,
1129,write,true,107.559,24811.711,
1132,read,true,174.985,19313.38,
1135,read,true,110.043,13915.811,
1138,write,true,128.558,28947.21,
1141,read,true,97.871,91830.501,
1144,read,true,15.189,14410.86,
1147,write,true,145.47,17250.177,
1150,read,true,483.907,135043.872,
1153,read,true,35.846,15153.454,
1156,read,true,117.086,15660.975,
1159,write,true,109.353,21690.752,
1162,read,true,98.163,8411.318,
1165,read,true,100.275,145622.123,
1168,write,true,68.737,22985.78,
1171,read,true,109.063,10188.681,
1174,read,true,14.246,13547.35,
1177,write,true,141.742,45236.669,
1180,read,true,102.791,100499.515,
1183,read,true,16.131,13535.668,
1186,read,true,118.399,9716.666,
1189,write,true,81.01,28061.64,
1192,read,true,89.505,3946.158,
1195,read,true,126.925,106446.448,
1198,write,true,77.514,20132.215,
1201,read,true,100.287,5078.657,
1204,read,true,13.977,4079.986,
1207,write,true,218.044,20168.733,
1210,read,true,137.835,98362.067,
1213,read,true,17.012,6781.289,
1216,read,true,211.261,6105.387,
1219,write,true,101.938,17834.669,
1222,read,true,139.499,128023.389,
1225,read,true,150.749,12850.619,
1228,write,true,92.802,43693.42,
1231,read,true,463.639,17491.625,
1234,read,true,28.853,12466.959,
1237,write,true,186.044,17258.522,
1240,read,true,204.829,90474.538,
1243,read,true,21.699,10880.73,
1246,read,true,97.421,7836.664,
1249,write,true,105.446,20176.868,
1252,read,true,106.517,84224.985,
1255,read,true,128.198,12570.07,
1258,write,true,95.938,14307.237,
1261,read,true,98.211,98975.442,
1264,read,true,16.711,13558.37,
1267,write,true,145.911,14343.485,
1270,read,true,145.499,110347.212,
1273,read,true,18.655,7669.253,
1276,read,true,99.694,7183.404,
1279,write,true,57.908,19661.413,
1282,read,true,173.431,8178.866,
1285,read,true,320.333,7138.44,
1288,write,true,113.109,21190.485,
1291,read,true,124.31,9688.313,
1294,read,true,16.391,84228.531,
1297,write,true,236.168,16404.14,
1300,read,true,132.496,98899.923,
1303,read,true,25.537,8098.027,
1306,read,true,102.65,8024.672,
1309,write,true,72.824,16920.196,
1312,read,true,89.807,102662.663,
1315,read,true,266.935,7378.023,
1318,write,true,64.38,19232.369,
1321,read,true,99.093,9619.816,
1324,read,true,13.997,9487.391,
1327,write,true,236.078,15817.665,
1330,read,true,96.317,194910.203,
