sequence,operation,main_thread,submission_us,latency_us,error
2,read,true,36649.034,73372.166,
5,read,true,655.565,25684.588,
8,write,true,19054.569,294570.215,
11,read,true,1353.316,12774.297,
14,read,true,654.572,11578.362,
17,write,true,2093.216,308602.772,
20,read,true,654.502,14948.023,
23,read,true,245.636,12939.113,
26,read,true,461.234,42421.134,
29,write,true,1343.588,357653.904,
32,read,true,455.193,21363.816,
35,read,true,599.22,28643.509,
38,write,true,9968.241,467593.613,
41,read,true,2373.656,11391.417,
44,read,true,378.371,16623.277,
47,write,true,4330.37,483551.177,
50,read,true,272.987,13791.854,
53,read,true,198.908,21919.464,
56,read,true,552.052,17926.649,
59,write,true,5501.668,502981.251,
62,read,true,340.591,25083.895,
65,read,true,423.404,6823.457,
68,write,true,1194.573,606324.283,
71,read,true,393.728,130800.532,
74,read,true,219.647,144041.155,
77,write,true,1294.307,811654.313,
80,read,true,499.525,138971.676,
83,read,true,168.823,144162.209,
86,read,true,275.211,100323.189,
89,write,true,1205.753,813929.527,
92,read,true,386.696,160742.004,
95,read,true,402.004,117765.952,
98,write,true,1109.596,861988.925,
101,read,true,615.67,263885.345,
104,read,true,195.402,273975.072,
107,write,true,1436.661,1023587.465,
110,read,true,439.794,481191.166,
113,read,true,154.425,494291.638,
116,read,true,427.261,484415.978,
119,write,true,1012.575,1479060.411,
122,read,true,332.285,471555.091,
125,read,true,569.365,429867.745,
128,write,true,3013.511,1976710.017,STORAGE_UNAVAILABLE
131,read,true,292.963,518794.649,
134,read,true,252.357,530129.36,
137,write,true,1335.534,1766633.686,
140,read,true,269.91,679479.707,
143,read,true,186.966,684791.003,
146,read,true,362.261,642322.732,
149,write,true,1133.549,2180328.999,STORAGE_UNAVAILABLE
152,read,true,322.298,1157249.217,
155,read,true,340.571,1124645.484,
158,write,true,1394.733,2592007.238,
161,read,true,305.325,1528522.463,
164,read,true,186.676,1535756.522,
167,write,true,1286.673,2981517.802,
170,read,true,493.565,1537160.021,
173,read,true,297.711,1557865.357,
176,read,true,361.068,1520648.931,
179,write,true,1302.633,1849719.13,
182,read,true,396.734,1807018.438,
185,read,true,438.411,1795159.365,
188,write,true,1086.493,3010142.896,REQUEST_TIMEOUT
191,read,true,1336.064,1761507.652,
194,read,true,202.595,1799359.804,
197,write,true,1768.606,3004263.167,REQUEST_TIMEOUT
200,read,true,347.173,2160999.632,
203,read,true,198.888,2176763.937,
206,read,true,304.564,2175828.705,
209,write,true,1794.383,2991434.106,
212,read,true,303.11,2550334.679,
215,read,true,324.691,2513377.013,
218,write,true,1516.489,3019136.731,STORAGE_UNAVAILABLE
221,read,true,307.459,2681243.874,
224,read,true,215.981,2698576.525,
227,write,true,2370.63,3003204.265,STORAGE_UNAVAILABLE
230,read,true,367.151,2670762.343,
233,read,true,348.886,2681176.4,
236,read,true,351.051,2647328.824,
239,write,true,1071.455,3002035.059,STORAGE_UNAVAILABLE
242,read,true,615.9,2654201.913,
245,read,true,276.772,2629633.421,
248,write,true,1153.796,3017404.173,STORAGE_UNAVAILABLE
251,read,true,342.625,2765049.243,
254,read,true,241.387,2781628.046,
257,write,true,1245.147,3003334.056,STORAGE_UNAVAILABLE
260,read,true,1462.057,2706108.583,
263,read,true,207.053,2725016.712,
266,read,true,319.011,2708836.826,
269,write,true,1111.258,3003598.385,STORAGE_UNAVAILABLE
272,read,true,713.08,2723536.941,
275,read,true,441.067,2685657.699,
278,write,true,8365.994,3011979.447,REQUEST_TIMEOUT
281,read,true,778.232,2750555.199,
284,read,true,652.428,2781548.238,
287,write,true,14016.328,3022267.73,REQUEST_TIMEOUT
290,read,true,351.341,2717545.615,
293,read,true,35202.976,2727780.731,
296,read,true,286.771,2681542.337,
299,write,true,1187.98,3018079.454,REQUEST_TIMEOUT
302,read,true,292.221,2718494.332,
305,read,true,310.374,2682024.17,
308,write,true,1166.501,3008556.508,STORAGE_UNAVAILABLE
311,read,true,357.392,2677230.672,
314,read,true,201.142,2685721.497,
317,write,true,1559.669,3004615.208,REQUEST_TIMEOUT
320,read,true,317.128,2746547.437,
323,read,true,231.688,2775594.151,
326,read,true,592.577,2748037.877,
329,write,true,1364.346,3007734.575,STORAGE_UNAVAILABLE
332,read,true,489.457,2710759.448,
335,read,true,391.184,2679390.372,
338,write,true,2063.291,3003729.459,REQUEST_TIMEOUT
341,read,true,303.843,2729753.855,
344,read,true,193.318,2739946.452,
347,write,true,1354.879,3004691.98,REQUEST_TIMEOUT
350,read,true,280.109,2659698.323,
353,read,true,294.676,2667884.955,
356,read,true,274.759,2629989.983,
359,write,true,1437.672,3004555.097,STORAGE_UNAVAILABLE
362,read,true,271.873,2697034.289,
365,read,true,1779.826,2663405.919,
368,write,true,1260.264,3004833.102,STORAGE_UNAVAILABLE
371,read,true,820.55,2661284.951,
374,read,true,202.855,2668452.455,
377,write,true,1235.439,3002477.129,REQUEST_TIMEOUT
380,read,true,432.44,2662508.827,
383,read,true,313.38,2672811.107,
386,read,true,361.881,2631002.648,
389,write,true,3953.692,3007476.507,STORAGE_UNAVAILABLE
392,read,true,2455.918,2669455.573,
395,read,true,309.152,2629928.238,
398,write,true,1855.396,3002828.64,REQUEST_TIMEOUT
401,read,true,369.014,2715437.742,
404,read,true,225.387,2726800.155,
407,write,true,1641.701,3006999.405,REQUEST_TIMEOUT
410,read,true,354.026,2662747.088,
413,read,true,1577.432,2669419.465,
416,read,true,429.836,2631492.345,
419,write,true,2587.403,3004782.85,STORAGE_UNAVAILABLE
422,read,true,707.941,2710844.616,
425,read,true,331.915,2696705.871,
428,write,true,1828.687,3007705.942,REQUEST_TIMEOUT
431,read,true,399.97,2666263.851,
434,read,true,298.272,2685061.906,
437,write,true,1470.453,3005139.049,REQUEST_TIMEOUT
440,read,true,335.802,2665788.461,
443,read,true,220.418,2675784.344,
446,read,true,382.438,2636202.569,
449,write,true,1509.997,3020793.401,STORAGE_UNAVAILABLE
452,read,true,291.51,2696040.428,
455,read,true,562.561,2657799.565,
458,write,true,6425.85,3009914.053,REQUEST_TIMEOUT
461,read,true,339.699,2665715.075,
464,read,true,190.462,2673909.441,
467,write,true,1148.277,3015964.548,
470,read,true,342.093,2681073.489,
473,read,true,224.186,2695537.658,
476,read,true,315.063,2685848.012,
479,write,true,1286.633,3002790.34,REQUEST_TIMEOUT
482,read,true,344.107,2713640.273,
485,read,true,316.977,2674788.059,
488,write,true,4479.216,3007867.743,REQUEST_TIMEOUT
491,read,true,623.465,2673245.141,
494,read,true,283.836,2679752.553,
497,write,true,1404.472,3025405.834,STORAGE_UNAVAILABLE
500,read,true,2709.388,2690622.314,
503,read,true,258.258,2722725.27,
506,read,true,405.531,2687410.907,
509,write,true,1393.802,3002674.004,STORAGE_UNAVAILABLE
512,read,true,313.901,2670329.461,
515,read,true,278.626,2628785.823,
518,write,true,1090.9,3005023.825,REQUEST_TIMEOUT
521,read,true,897.543,2687341.709,
524,read,true,236.929,2703468.826,
527,write,true,9518.548,3012338.983,STORAGE_UNAVAILABLE
530,read,true,251.145,2712824.342,
533,read,true,151.481,2726808.431,
536,read,true,498.523,2699819.497,
539,write,true,1890.531,3006619.259,STORAGE_UNAVAILABLE
542,read,true,288.355,2702740.447,
545,read,true,962.633,2676571.843,
548,write,true,1258.572,3012236.574,REQUEST_TIMEOUT
551,read,true,7235.871,2677936.188,
554,read,true,279.598,2704118.108,
557,write,true,1390.355,3037022.477,STORAGE_UNAVAILABLE
560,read,true,258.058,2692173.276,
563,read,true,181.667,2711020.141,
566,read,true,269.619,2669225.096,
569,write,true,1346.062,3027359.651,REQUEST_TIMEOUT
572,read,true,255.223,2673013.683,
575,read,true,1204.551,2634612.414,
578,write,true,1853.582,3028043.828,REQUEST_TIMEOUT
581,read,true,210.991,2787052.673,
584,read,true,154.636,2805258.721,
587,write,true,1434.878,3008044.53,STORAGE_UNAVAILABLE
590,read,true,346.071,2753248.638,
593,read,true,220.598,2788283.503,
596,read,true,271.232,2737088.199,
599,write,true,2238.115,3004582.739,REQUEST_TIMEOUT
602,read,true,498.594,2696426.193,
605,read,true,368.803,2661644.958,
608,write,true,1484.058,3005587.439,REQUEST_TIMEOUT
611,read,true,433.804,2700428.175,
614,read,true,221.148,2727248.285,
617,write,true,1867.539,3024432.23,STORAGE_UNAVAILABLE
